,date,count_commits,count_issues,count_pulls,price
643,2012-09-23,2161,532,978,12.24
644,2012-09-24,2161,532,983,12.19
645,2012-09-25,2166,534,985,12.1
646,2012-09-26,2167,534,987,12.2
647,2012-09-27,2169,537,991,12.27
648,2012-09-28,2172,539,996,12.31
649,2012-09-29,2177,540,999,12.39
650,2012-09-30,2179,541,1003,12.36
651,2012-10-01,2187,541,1004,12.4
652,2012-10-02,2187,545,1007,12.4
653,2012-10-03,2188,546,1008,12.84
654,2012-10-04,2196,546,1013,12.89
655,2012-10-05,2199,546,1015,12.85
656,2012-10-06,2199,546,1015,12.69
657,2012-10-07,2203,546,1018,12.51
658,2012-10-08,2208,546,1021,11.8
659,2012-10-09,2214,546,1021,11.78
660,2012-10-10,2214,546,1021,11.9
661,2012-10-11,2219,547,1021,12.12
662,2012-10-12,2222,548,1026,12.03
663,2012-10-13,2222,551,1027,12.0
664,2012-10-14,2224,552,1029,11.86
665,2012-10-15,2225,552,1030,11.74
666,2012-10-16,2225,552,1030,11.84
667,2012-10-17,2225,552,1030,11.85
668,2012-10-18,2225,552,1030,11.81
669,2012-10-19,2227,552,1031,11.94
670,2012-10-20,2256,552,1031,11.74
671,2012-10-21,2264,552,1036,11.74
672,2012-10-22,2269,555,1038,11.63
673,2012-10-23,2270,557,1039,11.71
674,2012-10-24,2274,557,1043,11.65
675,2012-10-25,2285,560,1045,11.65
676,2012-10-26,2285,560,1045,10.86
677,2012-10-27,2285,560,1045,10.17
678,2012-10-28,2287,562,1047,10.26
679,2012-10-29,2301,562,1047,10.7
680,2012-10-30,2302,564,1047,10.6
681,2012-10-31,2303,564,1047,10.89
682,2012-11-01,2307,564,1049,11.2
683,2012-11-02,2309,564,1050,10.57
684,2012-11-03,2311,565,1051,10.47
685,2012-11-04,2313,565,1056,10.64
686,2012-11-05,2316,566,1062,10.8
687,2012-11-06,2316,566,1062,10.75
688,2012-11-07,2316,566,1062,10.9
689,2012-11-08,2317,566,1064,10.92
690,2012-11-09,2325,568,1066,10.93
691,2012-11-10,2331,570,1067,10.82
692,2012-11-11,2338,571,1070,10.89
693,2012-11-12,2338,571,1070,10.87
694,2012-11-13,2344,572,1073,11.01
695,2012-11-14,2346,572,1076,10.95
696,2012-11-15,2350,573,1078,10.95
697,2012-11-16,2353,575,1081,11.2
